"timestamp","course.delivered","instructor.communicated","hear","interest","department","verbs","useful","gender","ethnicity","outside.barriers","inside.barriers","what.barriers","position"
2015-04-23,7,6,"Email from the D-Lab mailing list",7,NA,"This was a helpful workshop. 

Kelly was a clear instructor and knowledgeable of the material. 

Please keep these training sessions coming!",7,"Male/Man","Asian American",2,1,NA,"Visiting fellow or researcher"
2015-04-23,7,7,"Email from the D-Lab mailing list",7,NA,NA,7,"Male/Man","White",1,1,NA,"Faculty"
2015-04-23,7,5,"Email from the D-Lab mailing list",7,NA,NA,7,NA,"White",1,1,NA,"Faculty"
2015-04-23,6,6,"Library website",6,NA,NA,6,"Female/Woman","White",3,1,NA,"Faculty"
2015-04-23,7,7,"Email from another mailing list",6,NA,NA,6,"Female/Woman","White",1,1,NA,"Librarian"
2015-04-23,6,6,NA,7,NA,NA,6,"Male/Man","Decline to state",1,1,NA,"Administrative staff title"
2015-04-22,3,2,"Found it on the D-Lab website",6,NA,"I felt like this was more of an overview of tools that programmers use rather than an introduction to the theory and basic knowledge of programming itself. For me at least, the latter would have been more helpful, and seemed to be a necessary prerequisite for the material presented here. I appreciate the instructor's friendly attitude, but I didn't get a clear sense of a sense of a trajectory as we progressed from topic to topic.",3,"Male/Man","White",1,1,NA,"PhD student, dissertation stage"
2015-04-22,6,4,"Email from the D-Lab mailing list",7,NA,"Thank you for this class. I started with basically zero knowledge, so I really appreciate how no previous knowledge was assumed. It was a bit hard to follow as it went on because I think the pace picked up a little and I couldn't see on the screen very well what was going on (lighting, and hard to see the cursor), but overall still glad I came. 
",7,NA,"Decline to state",NA,NA,NA,NA
2015-04-22,5,4,"Found it on the D-Lab website",7,NA,"The initial class was far too large, which made it easy to fall behind. Additionally, it would have been much more helpful if we'd periodically stopped to check that everyone was up to speed. I also feel that it would be helpful to have a handout which outlined everything that was going to be covered, so that in case of falling behind, it would be easier to reference the instructions that might have been missed. ",4,"Female/Woman","White",1,1,NA,"PhD student, pre-dissertation"
2015-04-21,7,7,"Heard about it from a friend/colleague",7,NA,NA,7,"Female/Woman","International",1,1,NA,"Visiting fellow or researcher"
2015-04-20,7,7,"Found it on the D-Lab website",7,NA,NA,7,"Female/Woman","White",4,1,NA,"Masters student"
2015-04-20,6,6,"Heard about it from a friend/colleague",5,NA,NA,5,"Female/Woman","White",1,1,NA,"Masters student"
2015-04-20,6,6,"Heard about it from a friend/colleague",7,NA,NA,6,"Female/Woman","White",1,1,NA,"Masters student"
2015-04-20,5,7,"Email from the D-Lab mailing list",7,NA,NA,7,"Female/Woman","International, White",1,1,NA,"PhD student, dissertation stage"
2015-04-20,7,7,"Heard about it from a friend/colleague",7,NA,NA,7,"Female/Woman","International",1,1,NA,"PhD student, dissertation stage"
2015-04-20,7,7,"stopped by D-lab",7,NA,NA,7,NA,"Decline to state",NA,NA,NA,NA
2015-04-20,6,4,"Heard about it from a friend/colleague",6,NA,"I'd love a workshop on using stata to produce graphs.",6,"Female/Woman","White",1,1,NA,"Masters student"
2015-04-20,7,3,NA,7,NA,"a little too fast, but tremendously useful!!!",7,NA,"Decline to state",NA,NA,NA,NA
2015-04-17,7,6,"Found it on the D-Lab website",6,NA,NA,5,"Male/Man","African American/Black",3,1,NA,"Undergraduate student"
2015-04-17,5,5,"Email from the D-Lab mailing list",5,NA,NA,6,"Female/Woman","Asian American",NA,NA,NA,"Postdoctoral researcher"
2015-04-17,7,6,"Email from the D-Lab mailing list",7,NA,NA,6,NA,"Decline to state",3,1,"Instructors, Learning materials, Staff, D-Lab students","Administrative staff title"
2015-04-17,7,7,"Email from the D-Lab mailing list",7,NA,NA,6,"Female/Woman","White",1,1,NA,"Academic staff title"
2015-04-17,6,7,"Email from the D-Lab mailing list",7,NA,NA,7,"Female/Woman","White",1,1,NA,"Faculty"
2015-04-17,7,7,NA,7,NA,NA,7,"Female/Woman","Asian American",4,1,NA,"Administrative staff title"
2015-04-17,7,7,"Email from the D-Lab mailing list",7,NA,NA,7,"Female/Woman","White",3,1,NA,"PhD student, dissertation stage"
2015-04-17,7,7,NA,6,NA,NA,7,"Female/Woman","African American/Black",NA,NA,NA,"Administrative staff title"
2015-04-17,6,6,"Found it on the D-Lab website",6,NA,NA,5,"Male/Man","White",1,1,NA,"Postdoctoral researcher"
2015-04-17,7,5,"Found it on the D-Lab website",7,NA,"The sessions were a little fast-paced. I had some trouble keeping up but I am a very beginner user so that might just have been my experience. Thanks for making the bigger for day 2. Overall a useful workshop",5,"Female/Woman","Decline to state",1,1,NA,"PhD student, dissertation stage"
2015-04-17,7,7,"Heard about it from a friend/colleague",7,NA,"continuing to do",7,"Male/Man","Chinese",2,2,"my listening","Visiting fellow or researcher"
2015-04-17,6,6,"Found it on the D-Lab website",6,NA,"Cleaning and reorganize data",6,"Female/Woman","International",2,2,NA,"PhD student, dissertation stage"
2015-04-17,6,6,"Found it on the D-Lab website",7,NA,"It would be helpful to wait a little in between writing code in doing and jumping to running it. It is difficult to follow otherwise. Thanks!",6,"Female/Woman","N/A",4,1,NA,"PhD student, dissertation stage"
2015-04-17,7,7,"Email from the D-Lab mailing list",7,NA,NA,7,NA,"N/A",NA,NA,NA,NA
2015-04-17,7,7,"Found it on the D-Lab website",7,NA,NA,7,"Female/Woman","White",4,1,NA,"Masters student"
2015-04-17,6,6,"Heard about it from a friend/colleague",7,NA,NA,6,"Female/Woman","White",1,1,NA,"Visiting fellow or researcher"
2015-04-17,7,7,"Email from the D-Lab mailing list",7,NA,"Have instructor post name somewhere prominently in the room - this was a great intro class !!!",7,"Male/Man","Latino/Chicano",2,1,NA,"Academic staff title"
2015-04-17,7,5,"Heard about it from a friend/colleague",6,NA,NA,5,"Male/Man","White",1,1,NA,"Working"
2015-04-17,6,6,"Email from the D-Lab mailing list",7,NA,NA,5,NA,"N/A",NA,NA,NA,NA
2015-04-16,6,7,"Email from the D-Lab mailing list",7,NA,"Both instructors were great. It was nice to have two instructors in order to see slightly different perspectives/experiences. That made concrete the idea that there isn't only one way, or a right way, to do this kind of work, but that there are some common concerns or issues.

It would be helpful to have a workshop/training about managing interview transcripts. (You may have already done this previously and I just didn't notice it!)",6,"Female/Woman","White",4,1,NA,"PhD student, dissertation stage"
2015-04-15,4,4,NA,6,NA,"The end of the workshop today starting with scrapping the web went too fast. 

I would like to see an indesign workshop & an intro to Java training ",4,"Female/Woman","African American/Black",3,3,NA,"PhD student, dissertation stage"
2015-04-15,6,6,"Found it on the D-Lab website",7,NA,"Thank you ",7,"Female/Woman","White",NA,NA,NA,"Faculty"
