Timestamp,I will use my new powers...,Sample Question 2,The course delivered its advertised curriculum.,This instructor communicated content clearly.,What could the instructor do better next time?,"In general, what would make this training better next time?",Unnamed: 7,How did you hear about this training?,"After this training, if my schedule allows, I would be interested in attending another D-Lab training.","What trainings, workshops, or working groups would you like to see the D-Lab offer?",Unnamed: 11,What kind of data are you working with / would you like to work with?,"What department, school, program, or organization at Berkeley are you associated with?",Unnamed: 14,What other services (besides training) could D-Lab help you with?,"What department, school, program, or organization at Berkeley are you associated with?.1","Any other information or comments you want to share? What training, working groups, or services would you like to see the D-Lab offer? What kind of data are you working with/would you like to work with? What is the greatest technical challenge to your research?",What was the most helpful part of the training for you?,What was the most disappointing part of this training for you?,"I left with new knowledge, skills, and/or resources that are useful for my research.",What is the greatest technical challenge to your research?,I will use my new skills and powers...,How did you hear about this training?.1,Instructor.1,Please indicate your gender.,Please describe your race/ethnicity. Check all that apply.   ,"People may experience barriers to learning or participating in data intensive social science because of their race/ethnicity, gender, social or economic background, or prior exposure. Have you experienced these kinds of barriers?",Have you experienced these barriers in the D-Lab?,"If yes, what factors contributed to these barriers?",What is your career stage or position?
4/23/2015 22:51:56,,,7,6,,,,Email from the D-Lab mailing list,7.0,,,,,,,GSPP (Public Policy),"This was a helpful workshop. 

Kelly was a clear instructor and knowledgeable of the material. 

Please keep these training sessions coming!",,,7,,,,,Male/Man,Asian American,2.0,1.0,,Visiting fellow or researcher
4/23/2015 16:34:46,,,7,7,,,,Email from the D-Lab mailing list,7.0,,,,,,,School of Public Health,,,,7,,,,,Male/Man,White,1.0,1.0,,Faculty
4/23/2015 15:37:20,,,7,5,,,,Email from the D-Lab mailing list,7.0,,,,,,,Department of Spanish ,,,,7,,,,,Decline to state,White,1.0,1.0,,Faculty
4/23/2015 14:49:30,,,6,6,,,,Library website,6.0,,,,,,,Spanish and Portuguese,,,,6,,,,,Female/Woman,White,3.0,1.0,,Faculty
4/23/2015 14:44:22,,,7,7,,,,Email from another mailing list,6.0,,,,,,,Inst Transportation Studies,,,,6,,,,,Female/Woman,White,1.0,1.0,,Librarian
4/23/2015 9:20:48,,,6,6,,,,,7.0,,,,,,,Haas School of Business,,,,6,,,,,Male/Man,Decline to state,1.0,1.0,,Administrative staff title
4/22/2015 16:07:14,,,3,2,,,,Found it on the D-Lab website,6.0,,,,,,,Letters & Sciences,"I felt like this was more of an overview of tools that programmers use rather than an introduction to the theory and basic knowledge of programming itself. For me at least, the latter would have been more helpful, and seemed to be a necessary prerequisite for the material presented here. I appreciate the instructor's friendly attitude, but I didn't get a clear sense of a sense of a trajectory as we progressed from topic to topic.",,,3,,,,,Male/Man,White,1.0,1.0,,"PhD student, dissertation stage"
4/22/2015 16:06:18,,,6,4,,,,Email from the D-Lab mailing list,7.0,,,,,,,Independent Research,"Thank you for this class. I started with basically zero knowledge, so I really appreciate how no previous knowledge was assumed. It was a bit hard to follow as it went on because I think the pace picked up a little and I couldn't see on the screen very well what was going on (lighting, and hard to see the cursor), but overall still glad I came. 
",,,7,,,,,,Decline to state,,,,
4/22/2015 16:04:48,,,5,4,,,,Found it on the D-Lab website,7.0,,,,,,,English,"The initial class was far too large, which made it easy to fall behind. Additionally, it would have been much more helpful if we'd periodically stopped to check that everyone was up to speed. I also feel that it would be helpful to have a handout which outlined everything that was going to be covered, so that in case of falling behind, it would be easier to reference the instructions that might have been missed. ",,,4,,,,,Female/Woman,White,1.0,1.0,,"PhD student, pre-dissertation"
4/21/2015 9:37:45,,,7,7,,,,Heard about it from a friend/colleague,7.0,,,,,,,Haas School of Business,,,,7,,,,,Female/Woman,International,1.0,1.0,,Visiting fellow or researcher
4/20/2015 22:25:59,,,7,7,,,,Found it on the D-Lab website,7.0,,,,,,,Goldman School of Public Policy,,,,7,,,,,Female/Woman,White,4.0,1.0,,Masters student
4/20/2015 21:57:07,,,6,6,,,,Heard about it from a friend/colleague,5.0,,,,,,,Development Practice,,,,5,,,,,Female/Woman,White,1.0,1.0,,Masters student
4/20/2015 21:29:38,,,6,6,,,,Heard about it from a friend/colleague,7.0,,,,,,,GSPP,,,,6,,,,,Female/Woman,White,1.0,1.0,,Masters student
4/20/2015 16:56:44,,,5,7,,,,Email from the D-Lab mailing list,7.0,,,,,,,Econ Visiting Student Researcher,,,,7,,,,,Female/Woman,"International, White",1.0,1.0,,"PhD student, dissertation stage"
4/20/2015 16:53:55,,,7,7,,,,Heard about it from a friend/colleague,7.0,,,,,,,Haas School of Business,,,,7,,,,,Female/Woman,International,1.0,1.0,,"PhD student, dissertation stage"
4/20/2015 16:51:37,,,7,7,,,,stopped by D-lab,7.0,,,,,,,econ,,,,7,,,,,,Decline to state,,,,
4/20/2015 16:49:52,,,6,4,,,,Heard about it from a friend/colleague,6.0,,,,,,,GSPP,I'd love a workshop on using stata to produce graphs.,,,6,,,,,Female/Woman,White,1.0,1.0,,Masters student
